channel,super_user,current_owner,assembled_by,status,start_date,duration,cathode,anode,separator,data_filename,added_water_b,comments
3-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
4-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
5-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
6-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-7,John Smith,Alice Johnson,Bob Wilson,Test finished,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
7-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,50h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
8-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,100 ml,Running experiment
8-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
100-100,testuser,,,Available,2026-05-26,,,,,,,
